Ticker,Latest_Price,Latest_Volume,Latest_Est_Market_Cap,Last_Week_Price_Change,Last_Week_Average,Last_Week_Volatility,Last_Month_Price_Change,Last_Month_Average,Last_Month_Volatility,Last_3Months_Price_Change,Last_3Months_Average,Last_3Months_Volatility,Total_Return,CAGR,Label,End_date
CVX,68.76000213623047,15372900,1057040636.8400574,-0.014899725932048549,68.9240005493164,0.009465780351978419,0.10373511467288668,65.12431335449219,0.02423014859568695,0.13145899089171917,62.34756397065662,0.020402072224394177,0.3016738241187697,0.918082158060729,0,None
HAL,152.94000244140625,499800,76439413.22021484,-0.028458872949109485,157.0279998779297,0.018520782467430563,-0.006431431699345239,152.84761846633185,0.028375143985327197,0.07022812994775217,150.952638656374,0.02072565193999339,4.613159996667859,12.17796370185602,0,None
FG,10.095337867736816,8422429,85027266.42202473,-0.040896665884457076,10.381393432617188,0.01673800585224469,0.06077007305231345,10.120989118303571,0.021507307493215784,0.4300669754822209,8.885319732484364,0.017900438458409374,1.5686739930508626,50.13779243311254,1,1998-04-27
PX,8.25,13088252,107978079.0,0.023573147703674236,8.10600004196167,0.028397333564500662,-0.0823136585048126,8.726190453483945,0.021054277156693196,0.011029430670447081,8.706507940140982,0.02392912606859931,-0.5264064314656901,-9.64510718271957,1,2018-10-31
FI,11.010000228881836,58857800,648024391.4714813,-0.019590322557634033,11.102000045776368,0.004955656704155493,0.005368725644795706,10.799090930393763,0.02733049607481682,0.04490566017243336,10.695978316049727,0.019655668516109875,-0.11004287200415358,-7.73353921293205,0,None
JWN,68.76055908203125,2766028,190193631.71655273,0.03871845293073193,68.0776153564453,0.01608626836445286,0.11186161156068694,67.69616245088123,0.02458771596793096,0.36154051378054997,64.47377577282134,0.03334609711274975,12.74129125195814,11.315507919951218,1,2020-06-22
CRR,98.53096771240234,336930,33198038.95133972,0.013452483724093975,98.09503479003907,0.028107118597979642,0.1591428053162786,96.06532469249908,0.02930809200287836,-0.018994198426337577,91.79982357933407,0.028752598081768416,0.8652580061665667,55.85810642208957,1,1997-05-27
JOY,31.243925094604492,2059917,64359892.4491024,0.09874886365976379,29.95826835632324,0.01864268943290367,0.015079564211711267,29.717800412859237,0.0185351364509699,0.005977654159633349,31.18829282124837,0.02000846948135262,-0.19316798992682427,-4.551989877321406,1,2015-10-08
LSI,40.88299179077149,1558500,63716142.705917366,-0.018422162060622242,41.50249710083008,0.007463305885383403,-0.02242374941895789,41.63628496442522,0.007598915880569952,-0.02935967467177841,41.638035244411896,0.00945948419981589,2.964145177723368,7.805388558914617,1,2014-05-07
EW,29.690000534057617,270600,8034114.144515991,-0.008018702595090218,29.52400016784668,0.013983946778657292,-0.03478542545066537,30.267142886207218,0.011750744341702596,-0.057634165246054955,30.838324864705402,0.01251877548107962,0.34532417189604486,2.2032807084102934,0,None
VIAV,50.94399642944336,23263600,1185140755.3359985,0.03956689094788785,50.40381851196289,0.011907954832579785,0.07122653038257187,48.47664497012184,0.01173788448457868,0.1193060311876451,46.934798831031436,0.012658173966353868,2.9794155773095476,27.086924377161004,1,2013-12-23
GNW,23.193618774414062,632400,14667644.512939453,-0.024758271477153093,23.35186004638672,0.01630278192401042,0.04997895748271742,22.78223891485305,0.01350607978243085,0.1259490482272101,21.814761328318763,0.015179253139450236,0.7130935658418599,6.705783360668183,1,2015-11-18
TEG,15.433294296264648,38394941,592560423.9407177,-0.0038985446487910186,15.51181755065918,0.008777576721139421,0.041339345477308075,15.11380572546096,0.009882577296460563,0.11651147970051821,14.722140554397825,0.01031591729296464,0.7326486813472126,6.8081512902527175,1,2015-06-30
HSP,49.28730773925781,337200,16619680.169677734,-0.02427285499511093,49.87895278930664,0.018269749217715462,-0.02370876166689222,50.54214132399786,0.018665560655989233,-0.1104671592829305,54.01176924932571,0.015748059811182318,0.8089283444190005,10.726044111808864,1,2015-09-03
